FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,CarbohydrateAmount_g,CholesterolAmount_mg,DietaryFibreAmount_g,EnergyAmount_kcal,GlycemicIndexAmount,ProteinAmount_g,SugarAmount_g,MonounsaturatedFatAmount_g,PolyunsaturatedFatAmount_g,SaturatedFatAmount_g,TotalFatAmount_g,Vegan,Vegetarian,Halal,ContainsBeef
Tempura prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (30g),7.77,11.1,0.33,109.8,,3.18,0.0,3.03,0.69,3.3,7.35,True,True,True,False
Teochew braised goose,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-23cm (120g),0.24,38.4,0.0,234.0,,19.32,0.24,8.04,3.12,5.28,17.4,True,True,True,False
Teppanyaki beef,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (77g),0.08,49.28,1.46,99.33,,9.86,0.0,2.85,0.39,3.0,6.62,True,True,True,False
Teppanyaki chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (95g),0.95,31.35,1.71,140.6,,15.39,0.76,3.52,0.95,3.42,8.36,True,True,True,False
Tepung bungkus,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (85g),53.3,,0.17,237.89,,1.45,,,,,2.13,True,True,True,False
Tequila sunrise,BEVERAGES,Alcoholic beverages,Glass (250ml) (172g),14.79,0.0,0.17,189.2,,0.52,,0.03,0.03,0.12,0.17,True,True,True,False
Teriyaki chicken don,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (369g),66.68,163.1,5.17,582.28,,30.66,7.31,10.07,3.36,7.05,21.44,True,True,True,False
Textured Vegetable protein,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Gram (1g),0.19,0.0,0.17,3.56,,0.52,0.1,,,0.0,0.01,True,True,True,False
Thai Heritage Basil Paste,MISCELLANEOUS,"Sauces, gravies (manufactured)",Tablespoon (15g),1.46,,0.29,26.25,,0.25,0.92,,,0.29,2.16,True,True,True,False
Thai Stuffed Chicken Wings,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (58g),3.19,,0.93,116.58,,10.38,0.64,3.17,1.22,2.47,6.9,True,True,True,False
Thai basil beef with rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (411g),282.69,,11.63,2745.48,,163.99,9.49,43.94,28.93,37.98,105.34,False,False,False,True
Thai basil pork with rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (428g),330.63,,10.49,2987.44,,149.12,19.3,49.22,17.85,39.59,116.67,False,False,False,True
Thai chicken feet salad,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (284g),23.57,22.72,4.54,221.52,,19.03,23.57,2.84,0.85,1.42,5.68,True,True,True,False
Thai green milk tea,BEVERAGES,Non-alcoholic beverages,Cup (517g),39.29,,1.03,237.82,,2.59,39.29,2.9,0.67,4.24,7.81,False,False,False,False
Thai mango salad,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Plate-20cm (263g),47.6,,5.52,397.13,,8.94,44.71,8.65,5.44,4.63,18.91,True,True,True,False
Thai milk tea,BEVERAGES,Non-alcoholic beverages,Cup (527g),49.54,,1.58,300.39,,2.64,49.54,2.9,0.69,6.8,10.38,False,False,False,False
Thairu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (291g),15.13,32.01,2.04,224.07,,11.64,10.77,,0.29,7.71,13.1,True,True,True,False
"Thin pizza, crust only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Slice (22g),15.47,-0.22,0.57,84.04,,2.33,0.09,0.28,0.82,0.26,1.43,True,True,True,False
Thosai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (45g),17.64,0.0,0.63,97.23,,2.03,0.99,0.81,0.23,0.9,2.03,True,True,True,False
Thosai masala,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (225g),52.43,0.0,4.5,362.25,,8.55,3.15,5.38,1.49,5.76,13.28,True,True,True,False
"Thread fin beam, in soya sauce",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (75g),2.7,,0.08,173.25,,19.43,2.7,3.68,0.92,4.66,9.68,True,True,True,False
"Thread fin bream, fried in chilli",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (75g),3.98,,,254.18,,19.88,,5.78,2.31,8.7,17.63,True,True,True,False
"Threadfin, dried, whole",FISH AND FISH PRODUCTS,Fish and roe,Slice (40g),0.0,77.2,0.0,71.22,,16.04,,0.24,0.08,0.44,0.76,True,True,True,False
"Threadfin, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (329g),0.0,118.44,0.0,385.3,,71.39,,3.29,0.33,6.25,11.19,True,True,True,False
"Threadfin,whole, raw",FISH AND FISH PRODUCTS,Fish and roe,Slice (108g),0.54,4.32,0.0,97.31,,21.28,,0.32,0.0,0.65,1.08,True,True,True,False
Thunder Tea Rice with Soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (428g),57.78,,15.41,642.0,273.92,26.54,,13.78,9.89,10.19,33.94,True,True,True,False
"Thyme, ground",MISCELLANEOUS,"Herbs, spices, condiments",Tablespoon (4.3g),2.75,0.0,1.59,11.88,,0.39,,0.02,0.05,0.12,0.32,True,True,True,False
"Thyme, raw",MISCELLANEOUS,"Herbs, spices, condiments",Teaspoon (.8g),0.2,0.0,0.11,0.81,,0.04,,0.0,0.0,0.0,0.01,True,True,True,False
Tiramisu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (95g),25.56,49.4,0.86,249.85,,5.13,14.54,3.46,1.24,8.27,14.16,True,True,True,False
"Toasted Bandito Pocket, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (193g),41.4,,,540.4,,19.3,,,,11.0,33.39,True,True,True,False
Tofu,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",Piece (152g),5.78,0.0,0.61,123.15,,12.31,2.43,1.22,3.34,0.91,5.62,True,True,True,False
Tofu with minced pork and mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (126.97g),2.46,15.5,1.51,117.52,,12.06,1.7,2.03,2.74,1.54,6.6,True,True,True,False
"Tofu, battered, deep fried, with crabmeat sauce","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (133.98g),4.25,57.49,1.7,246.04,,11.8,0.39,7.3,5.98,6.04,20.2,True,True,True,False
"Tofu, char siew, mushroom and peas, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (183.1g),2.84,23.78,4.3,171.86,,17.96,2.12,3.48,3.42,2.51,9.85,True,True,True,False
Tom yam noodle soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (930g),84.63,9.3,8.37,604.5,,33.48,-9.3,4.93,3.91,5.49,13.95,True,True,True,False
Tom yam paste,MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Tablespoon (25g),6.1,,1.98,58.25,,1.65,2.05,0.7,1.64,0.58,3.05,True,True,True,False
"Toman, whole, raw",FISH AND FISH PRODUCTS,Fish and roe,Piece (38g),0.04,,0.0,30.79,,7.49,,,,0.08,0.08,True,True,True,False
Tomato and egg soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (268.5g),1.91,266.62,0.0,147.19,,5.05,1.91,6.26,2.28,4.13,13.26,True,True,True,False
Tomato brinjal curry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (375g),18.0,15.0,9.38,165.0,,3.75,6.0,2.48,0.38,4.91,8.63,True,True,True,False
Tomato juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (279g),8.93,0.0,1.95,41.85,,1.12,4.74,0.0,0.0,0.0,0.28,True,True,True,False
"Tomato juice, canned",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (248g),11.41,0.0,1.98,56.9,,2.73,11.41,0.0,0.0,0.0,0.0,True,True,True,False
Tomato puree,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (255g),25.5,0.0,5.1,104.22,,4.34,25.25,,0.15,,0.41,True,True,True,False
Tomato sauce,MISCELLANEOUS,"Sauces, gravies (manufactured)",Tablespoon (22g),5.3,0.0,0.22,27.06,,0.24,4.62,0.0,0.0,0.0,0.02,True,True,True,False
"Tomato, cherry, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (15g),0.33,0.0,0.26,2.33,,0.08,0.33,0.0,0.0,0.0,0.02,True,True,True,False
"Tomato, powder",MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Gram (1g),0.75,0.0,0.17,3.02,,0.13,,0.0,0.0,0.0,0.0,True,True,True,False
"Tomato, raw",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Whole (55g),1.98,0.0,0.28,12.1,,0.77,1.98,0.03,0.06,0.03,0.11,True,True,True,False
"Tomatoes, green, raw",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (180g),7.2,0.0,1.98,41.4,,2.16,7.2,0.05,0.14,0.04,0.36,True,True,True,False
"Tomatoes, stewed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (101g),13.18,0.0,1.72,79.79,,1.98,,1.06,0.89,0.53,2.71,True,True,True,False
"Tong chong chao, dried",MISCELLANEOUS,"Herbs, spices, condiments",Gram (1g),0.3,0.0,0.18,2.94,,,,0.0,0.0,0.0,0.09,True,True,True,False
"Tong sum, dried",MISCELLANEOUS,"Herbs, spices, condiments",Gram (1g),0.65,0.0,0.07,2.78,,0.06,,0.0,0.0,0.0,0.01,True,True,True,False
Tonic water,BEVERAGES,Non-alcoholic beverages,Can (330g),29.04,0.0,0.0,112.79,,0.0,29.04,0.0,0.0,0.0,0.0,True,True,True,False
"Top shell, raw",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Gram (1g),0.01,1.7,0.0,0.91,,0.2,0.01,0.0,0.0,0.0,0.0,True,True,True,False
"Topping, chocolate, syrup",MISCELLANEOUS,Baking / leavening agents,Tablespoon (25g),12.33,0.0,0.0,46.0,,0.18,12.33,,,,0.08,True,True,True,False
"Topping, fruit, syrup",MISCELLANEOUS,Baking / leavening agents,Tablespoon (23g),10.65,0.0,0.09,39.1,,0.0,,0.0,0.0,0.0,0.0,True,True,True,False
"Toppings, butterscotch or caramel",MISCELLANEOUS,Others,Tablespoon (41g),26.65,0.41,0.37,103.32,,0.62,,0.01,0.0,0.05,0.04,True,True,True,False
"Tortilla chip, nacho flavour",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (2.67g),1.67,0.08,0.14,13.3,,0.21,,0.4,0.09,0.13,0.68,True,True,True,False
"Tortilla chip, plain",OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Cup (27.5g),16.57,0.0,1.46,134.48,,2.15,,1.87,3.09,0.77,6.42,True,True,True,False
"Tortillas, ready-to-bake or -fry, flour",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Piece (30g),14.49,0.0,0.93,93.6,,2.49,0.57,1.17,0.47,0.57,2.34,True,True,True,False
"Traditional Bolognaise Pasta, Pizzahut",FAST FOODS,All fast food outlets in alphabetical order,Whole (440g),53.5,44.0,8.4,594.0,,30.8,11.88,9.42,6.93,10.6,27.72,True,True,True,False
Traditional ondeh ondeh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),22.25,0.0,1.25,136.0,,1.35,6.2,0.73,0.2,3.78,5.0,True,True,True,False
"Treacle, black","SUGARS, SWEETS AND CONFECTIONERY","Sugars, syrups",Tablespoon (23g),15.32,0.0,0.0,62.28,,0.25,,0.0,0.0,0.0,0.0,True,True,True,False
"Trevally, malabar, raw",FISH AND FISH PRODUCTS,Fish and roe,1 portion (91g),0.0,37.31,0.0,91.0,,18.93,,0.55,0.09,0.91,1.73,True,True,True,False
"Trevally, yellow banded, whole, raw",FISH AND FISH PRODUCTS,Fish and roe,1 portion (60g),0.0,36.6,0.0,60.76,,12.84,,0.25,0.25,0.53,1.04,True,True,True,False
"Trevally, yellow banded, with tamarind, boiled",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (40g),2.52,14.43,0.46,106.02,,7.44,,1.91,0.38,4.32,7.36,True,True,True,False
Tropical juice drink,BEVERAGES,Non-alcoholic beverages,Cup (261g),23.49,0.0,0.26,93.05,,0.0,23.49,0.0,0.0,0.0,0.0,True,True,True,False
Truffle Fries,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (241g),88.21,,8.92,732.64,,10.85,,18.03,4.82,14.44,37.33,True,True,True,False
Tumpi,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (13g),6.31,,0.17,68.64,,1.64,,,,,4.1,True,True,True,False
Tuna mayonnaise sandwich,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (113g),34.18,24.18,1.62,254.35,,15.0,3.48,1.51,3.34,1.03,6.4,True,True,True,False
Tuna puff,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (91g),24.3,48.23,1.27,379.47,,8.55,2.46,8.41,5.86,12.02,27.48,True,True,True,False
"Tuna sandwich type, canned in oil",FISH AND FISH PRODUCTS,Fish and roe,Tablespoon (40g),0.0,13.6,0.0,101.05,,7.24,0.0,1.8,4.6,1.24,8.08,True,True,True,False
"Tuna with mayonnaise spread, canned",FISH AND FISH PRODUCTS,Fish and roe,Can (150g),4.2,25.95,2.1,225.0,,18.6,4.2,4.17,8.27,2.45,15.0,True,True,True,False
"Tuna, canned in brine",FISH AND FISH PRODUCTS,Fish and roe,Can (195g),0.0,83.85,0.0,202.92,,43.1,0.0,0.39,0.78,0.98,3.12,True,True,True,False
"Tuna, canned in brine, drained",FISH AND FISH PRODUCTS,Fish and roe,Cup (190g),0.0,96.9,0.0,225.91,,45.22,0.0,0.76,1.14,1.52,4.75,True,True,True,False
"Tuna, canned in oil",FISH AND FISH PRODUCTS,Fish and roe,Can (195g),0.0,64.35,0.0,565.4,,40.56,0.0,12.68,23.6,6.83,45.24,True,True,True,False
"Tuna, canned in oil, drained",FISH AND FISH PRODUCTS,Fish and roe,Cup (205g),0.0,79.95,0.0,435.99,,48.38,0.0,7.18,14.15,4.31,27.06,True,True,True,False
"Tuna, canned in water, drained",FISH AND FISH PRODUCTS,Fish and roe,Can (172g),0.0,72.24,0.0,220.16,,40.63,0.0,1.35,1.91,1.36,5.11,True,True,True,False
"Tuna, cooked in coconut milk",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (55g),3.36,19.84,0.63,65.46,,8.64,,0.28,0.06,1.5,1.93,True,True,True,False
"Tuna, in chilli and tomato, canned",FISH AND FISH PRODUCTS,Fish and roe,Can (184g),5.7,38.64,3.5,202.4,,27.78,5.52,0.18,0.0,7.14,7.73,True,True,True,False
"Tuna, in curry, canned",FISH AND FISH PRODUCTS,Fish and roe,Can (179g),17.01,30.43,4.65,232.7,,15.39,10.2,3.28,6.09,1.47,11.64,True,True,True,False
"Tuna, little",FISH AND FISH PRODUCTS,Fish and roe,Piece (73g),0.0,38.69,0.0,85.4,,16.94,,0.47,0.71,0.79,1.97,True,True,True,False
"Tuna, salad, with thousand island dressing, canned",FISH AND FISH PRODUCTS,Fish and roe,Can (176g),10.56,33.44,3.52,244.64,,23.76,5.98,2.9,2.8,5.6,12.14,True,True,True,False
"Tuna, sashimi style",FISH AND FISH PRODUCTS,Fish and roe,Slice (15g),0.0,2.1,0.0,15.9,,3.86,0.0,0.01,0.02,0.02,0.05,True,True,True,False
"Tuna, smoked, canned",FISH AND FISH PRODUCTS,Fish and roe,Can (166g),0.0,16.6,0.0,476.42,,33.86,0.0,12.33,16.92,5.78,37.85,True,True,True,False
"Turkey Breast Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (344g),13.0,20.64,3.99,110.08,,10.32,4.99,,,0.52,2.2,True,True,True,False
"Turkey breast meat, raw, with skin",MEAT AND MEAT PRODUCTS,"Game (eg ostrich, emu, buffalo)",Slice (60g),1.08,10.62,0.12,58.8,,11.94,0.42,0.27,0.13,0.27,0.72,True,True,True,False
"Turkey breast meat, raw, without skin",MEAT AND MEAT PRODUCTS,"Game (eg ostrich, emu, buffalo)",Slice (70g),0.77,8.96,0.07,62.3,,13.16,0.42,0.29,0.08,0.31,0.77,True,True,True,False
"Turkey, all classes, breast, meat and skin, roasted",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",1 portion (90g),0.0,66.6,0.0,170.1,,25.83,0.0,2.21,1.62,1.89,6.66,True,True,True,False
"Turkey, fryer-roasters, breast, meat only, roasted",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",1 portion (90g),0.0,74.7,0.0,121.5,,27.09,0.0,0.12,0.18,0.22,0.63,True,True,True,False
"Turkey, fryer-roasters, meat only, roasted",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",1 portion (90g),0.0,88.2,0.0,135.0,,26.64,0.0,0.5,0.69,0.78,2.34,True,True,True,False
"Turmeric, root, dried",MISCELLANEOUS,"Herbs, spices, condiments",Tablespoon (8g),5.61,,0.54,26.8,,0.18,1.98,,,,0.4,True,True,True,False
"Turnip, white, raw, peeled",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Cup (112g),3.81,0.0,1.9,25.19,,1.46,3.58,0.0,0.0,0.0,0.0,True,True,True,False
Turtle soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (424g),6.36,135.68,0.0,166.2,,29.26,,-4.24,-4.24,-4.24,2.54,True,True,True,False
Twisted cookies,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (12g),5.95,0.0,0.2,67.32,,0.73,1.26,1.86,0.43,2.03,4.51,True,True,True,False
UHT chocolate milk,MILK AND MILK PRODUCTS,Milks,Cup (264g),29.3,16.9,0.79,195.36,,8.71,27.72,1.14,0.21,3.04,5.02,True,True,True,False
UHT milk,MILK AND MILK PRODUCTS,Milks,Cup (256g),18.18,23.04,0.0,183.56,,8.96,18.18,2.05,0.26,5.38,8.7,True,True,True,False
"Udon, wet",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',1 portion (200g),61.4,0.0,1.6,270.0,68.0,5.2,1.4,0.02,0.14,0.08,0.2,True,True,True,False
Unagi don,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (344g),91.26,121.78,5.09,625.74,,23.67,6.19,9.8,0.65,6.12,18.44,True,True,True,False
Vadai with kacang hitam,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (60g),10.51,0.0,2.99,131.36,,5.03,0.41,3.26,0.71,3.38,7.69,True,True,True,False
"Vadai, kacang dal kuning","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),11.6,0.0,3.7,150.93,,6.2,0.55,3.45,1.5,3.55,8.85,True,True,True,False
Vanaspati,OILS AND FATS,Hard margarine,Tablespoon (13g),0.0,,0.0,117.01,,0.0,,,,,13.0,True,True,True,False
Vanilla cream roll,FAST FOODS,All fast food outlets in alphabetical order,1 portion (65g),32.63,0.0,1.56,197.6,,5.4,,0.75,0.27,2.8,5.07,True,True,True,False
Vanilla custard,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Cup (280g),44.24,8.4,2.8,249.62,,12.6,37.8,0.56,0.0,1.68,2.52,True,True,True,False
Vanilla ice cream cone with chocolate bits,"SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),1 portion (62g),17.73,29.14,0.87,169.38,,3.41,14.94,1.18,0.0,7.44,9.42,True,True,True,False
"Veal, boneless, unspecified cut, cooked, fat only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (50g),0.0,55.0,0.0,201.36,,10.05,0.0,8.8,0.5,7.95,18.15,True,True,True,False
"Veal, boneless, unspecified cut, cooked, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),0.0,210.9,0.0,303.35,,58.52,0.0,2.85,0.57,2.09,7.41,True,True,True,False
"Veal, boneless, unspecified cut, cooked, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),0.0,210.9,0.0,283.37,,59.47,0.0,1.9,0.38,1.33,4.75,True,True,True,False
"Veal, boneless, unspecified cut, raw, fat only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (50g),0.0,40.0,0.0,177.58,,9.65,0.0,7.6,0.45,6.85,15.65,True,True,True,False
"Veal, boneless, unspecified cut, raw, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (215g),0.0,176.3,0.0,260.01,,47.52,0.0,3.01,0.43,2.15,7.53,True,True,True,False
"Veal, boneless, unspecified cut, raw, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (215g),0.0,176.3,0.0,224.05,,47.95,0.0,1.29,0.22,0.86,3.23,True,True,True,False
"Veal, forequarter, raw, 50%,trimmed",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (215g),0.0,176.3,0.0,265.15,,47.52,0.0,3.23,0.43,2.37,8.17,True,True,True,False
"Veal, forequarter, raw, 75%,trimmed",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (215g),0.0,176.3,0.0,249.74,,47.73,0.0,2.37,0.43,1.72,6.24,True,True,True,False
"Veal, forequarter, raw, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (215g),0.0,176.3,0.0,293.41,,47.3,0.0,4.52,0.65,3.44,11.61,True,True,True,False
"Veal, forequarter, raw, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (215g),0.0,176.3,0.0,232.78,,47.95,0.0,1.72,0.22,1.29,4.3,True,True,True,False
"Veal, forequarter, simmered, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),0.0,210.9,0.0,355.57,,66.12,0.0,5.13,0.76,3.8,9.88,True,True,True,False
"Veal, forequarter, simmered, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Cup (190g),0.0,210.9,0.0,329.23,,67.83,0.0,2.28,0.38,1.71,6.08,True,True,True,False
"Veal, leg steak, fried, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (75g),0.0,82.5,0.0,120.1,,23.25,0.0,1.5,0.23,1.13,2.85,True,True,True,False
"Veal, leg steak, fried, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (75g),0.0,83.25,0.0,115.98,,23.48,0.0,0.9,0.15,0.68,2.33,True,True,True,False
"Veal, leg steak, raw, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (90g),0.0,51.3,0.0,103.78,,21.87,0.0,0.54,0.36,0.54,1.62,True,True,True,False
"Veal, leg steak, raw, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (90g),0.0,51.3,0.0,103.56,,21.96,0.0,0.54,0.36,0.54,1.62,True,True,True,False
"Veal, leg, baked, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),0.0,49.95,0.0,64.1,,14.22,0.0,0.27,0.05,0.23,0.72,True,True,True,False
"Veal, leg, baked, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (45g),0.0,49.95,0.0,61.74,,14.31,0.0,0.14,0.05,0.14,0.41,True,True,True,False
"Veal, leg, raw, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (650g),0.0,533.0,0.0,643.16,,136.5,0.0,3.9,0.65,2.6,9.75,True,True,True,False
"Veal, leg, raw, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (650g),0.0,533.0,0.0,574.81,,137.15,0.0,0.65,0.0,0.65,1.95,True,True,True,False
"Veal, loin chop, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (85g),0.0,94.35,0.0,136.93,,24.82,0.0,1.53,0.26,1.19,4.08,True,True,True,False
"Veal, loin chop, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (85g),0.0,94.35,0.0,123.32,,25.33,0.0,0.85,0.17,0.68,2.3,True,True,True,False
"Veal, loin chop, raw, 50% trimmed",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (115g),0.0,94.3,0.0,136.33,,25.76,0.0,1.38,0.23,1.04,3.57,True,True,True,False
"Veal, loin chop, raw, 75% trimmed",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (115g),0.0,94.3,0.0,128.91,,25.88,0.0,1.04,0.23,0.81,2.65,True,True,True,False
"Veal, loin chop, raw, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (115g),0.0,94.3,0.0,150.07,,25.65,0.0,2.07,0.35,1.5,5.18,True,True,True,False
"Veal, loin chop, raw, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (115g),0.0,94.3,0.0,120.94,,25.99,0.0,0.69,0.12,0.46,1.73,True,True,True,False
"Veal, shank, raw, 50% trimmed",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (275g),0.0,225.5,0.0,272.76,,58.58,0.0,1.65,0.28,1.1,3.85,True,True,True,False
"Veal, shank, raw, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (275g),0.0,225.5,0.0,295.11,,58.58,0.0,3.58,0.55,1.1,6.6,True,True,True,False
"Veal, shank, raw, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (275g),0.0,225.5,0.0,249.1,,58.85,0.0,0.55,0.11,0.55,1.1,True,True,True,False
"Veal, shank, simmered, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (225g),0.0,249.75,0.0,401.17,,66.38,0.0,7.65,1.13,5.85,14.85,True,True,True,False
"Veal, shank, simmered, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (225g),0.0,249.75,0.0,329.11,,69.3,0.0,2.93,0.45,2.03,5.4,True,True,True,False
"Veal, shoulder steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (60g),0.0,66.6,0.0,92.64,,17.16,0.0,1.32,0.24,0.24,2.58,True,True,True,False
"Veal, shoulder steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Beef and veal,Whole (60g),0.0,66.6,0.0,87.48,,17.34,0.0,1.02,0.18,0.72,1.92,True,True,True,False
