FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,CarbohydrateAmount_g,CholesterolAmount_mg,DietaryFibreAmount_g,EnergyAmount_kcal,GlycemicIndexAmount,ProteinAmount_g,SugarAmount_g,MonounsaturatedFatAmount_g,PolyunsaturatedFatAmount_g,SaturatedFatAmount_g,TotalFatAmount_g,Vegan,Vegetarian,Halal,ContainsBeef
"Apricot, canned in artificially sweetened juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (247g),12.35,0.0,3.21,58.45,,1.24,10.62,0.0,0.0,0.0,0.0,True,True,True,False
"Apricot, canned in artificially sweetened liquid, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",One half (17g),0.66,0.0,0.44,4.8,,0.14,0.66,0.0,0.0,0.0,0.0,True,True,True,False
"Apricot, canned in pear juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (247g),20.25,0.0,4.45,113.45,,1.98,20.25,0.0,0.0,0.0,0.0,True,True,True,False
"Apricot, canned in pear juice, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (220g),17.16,0.0,6.82,103.14,,2.2,17.16,0.0,0.0,0.0,0.0,True,True,True,False
"Apricot, canned in syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),33.54,0.0,4.42,158.6,,1.82,33.54,0.0,0.0,0.0,0.0,True,True,True,False
"Apricot, canned in syrup, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (220g),27.06,0.0,6.82,135.78,,1.98,27.06,0.0,0.0,0.0,0.0,True,True,True,False
"Apricot, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fruit and fruit products,Packet (202g),127.87,0.0,19.59,521.16,,1.62,99.79,0.06,0.12,0.14,0.4,True,True,True,False
Apricots,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (38g),4.23,0.0,0.76,18.24,,0.53,3.51,0.06,0.03,0.01,0.15,True,True,True,False
Aquaresin garlic,MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Gram (1g),0.01,0.0,0.0,8.54,,0.0,0.0,,,0.13,0.95,True,True,True,False
"Artificial sweetener, aspartame",MISCELLANEOUS,Others,Teaspoon (3.5g),3.12,0.0,0.0,12.78,,0.08,2.82,0.0,0.0,0.0,0.0,True,True,True,False
